id,latitude,longitude,trigger_index,distance,magnitude,magtype
ci40192266,33.6175,-116.6913333,1059.9150618943736,114.88704621637612,2.07,ml
ci40192522,33.3693333,-116.8921667,780.4860562573584,97.13263012961058,2.19,ml
ci40192530,33.3681667,-116.891,604.8050261367038,96.96508704198406,2.41,ml
us6000pvvv,31.4964,-117.036,1003.1940829328438,141.70493066860345,2.3,ml
ci40193018,34.8223333,-120.3916667,2486.109331931689,447.21897690421764,2.51,ml
nc75138466,36.9748333333333,-121.643666666667,5893.072776892175,684.4501207981675,2.13,md
ci40193754,35.3335,-119.555,1001.8995168869964,422.4975230580322,3.25,ml
ci40193762,35.7251667,-117.5478333,2036.92717700554,362.222565861766,2.5,ml
ci40194194,32.9748333,-115.5423333,663.8973151921566,84.54752763759012,2.21,ml
ci40194490,33.6786667,-116.7848333,1212.0853318157522,124.03184260933519,2.02,ml
nc75139226,36.6836666666667,-121.313333333333,1401.905472211207,640.794434304207,3.32,mw
ci40194626,36.1628333,-118.0621667,3107.18576300478,424.00132944455135,2.27,ml
nc75139306,36.6766666666667,-121.311166666667,4229.2242115402605,640.1189877535514,2.36,md
ci40194642,33.8908333,-116.569,1358.2626055282683,142.22755499986474,2.04,ml
nc75139331,36.6798333333333,-121.305833333333,2377.8799273006625,640.0146583888936,2.86,md
ci40194722,36.1635,-118.0603333,3911.771540775196,424.00744545484264,2.07,ml
nc75139451,36.0828333333333,-120.177,1371.4759807442713,521.4206251873142,3.16,ml
ci40195130,32.5371667,-116.2276667,132.80382827798826,14.90083461298518,2.1,ml
nc75139611,36.5748333333333,-121.172833333333,4214.3675816207,623.3506440799338,2.34,md
ci40195242,36.0686667,-117.6616667,3836.7844971960913,401.7606579733144,2.04,ml
ci40195354,35.6728333,-117.53,1890.9284862031275,356.1845721326847,2.55,ml
ci40195394,35.486,-118.4446667,3682.3484001068746,372.49879849749215,2.01,ml
nc75140186,36.1641666666667,-120.176666666667,3611.03693756721,527.9975786230864,2.33,md
ci41068296,35.8636667,-117.6958333,2023.316702882643,381.1218665134395,2.55,ml
ci41068424,33.0846667,-115.5841667,395.61296773391643,87.55289659433163,2.69,ml
ci41068456,33.638,-118.0076667,1436.0759920838602,191.50381136590357,2.25,ml
ci41068816,32.9105,-116.2423333,231.0429221749107,33.013583565248084,2.31,ml
nc75140621,36.0711666666667,-120.1965,2251.2063367944156,521.6933520862516,2.73,md
nc75140891,36.7811666666667,-121.5245,6177.849810945926,661.9685337287058,2.06,md
us6000pw9n,36.0603,-111.1779,1216.0683598858263,609.4779371928314,3.4,ml
nc75141061,36.5526666666667,-121.1335,4234.101407598402,619.1006432525445,2.33,md
ci41069440,33.9383333,-116.7226667,1307.707833727733,150.14494851543404,2.12,ml
ci41069504,34.4336667,-120.0555,1568.9519403167253,398.6664056663422,2.81,ml
ci41069520,34.4373333,-120.0531667,3094.7364118227642,398.6792795139095,2.22,ml
nc75141331,35.9273333333333,-119.894,4481.328066572003,491.36785147606975,2.08,md
ci41069808,33.9435,-116.3606667,1061.7903910989262,146.56787481795,2.28,ml
ci41069880,33.1525,-115.6548333,668.6006994664864,87.12982195946951,2.23,ml
ci41069888,33.1553333,-115.6543333,385.8253247651023,87.37571254545324,2.71,ml
ci41069904,33.1518333,-115.6553333,495.1610882607931,87.0455369767133,2.49,ml
ci41069944,35.0068333,-118.5081667,2891.0006292004823,331.9312842166301,2.12,ml
ci41069960,32.4421667,-115.4916667,664.7671838338472,82.73124737073373,2.19,ml
ci41070040,36.166,-118.7208333,2682.2997203549003,450.3055548340827,2.45,ml
ci41070112,34.1615,-118.3533333,318.4816489807013,252.9789660269187,3.8,mw
ci41070344,34.0306667,-117.234,826.8013579046353,176.76699587490774,2.66,ml
nc75142516,36.8445,-121.586666666667,2579.9368696561028,670.8247523998991,2.83,md
nc75142546,36.8426666666667,-121.583666666667,2926.795172532791,670.4900387032246,2.72,md
nc75142561,36.8441666666667,-121.579166666667,4912.196389999254,670.3100357405975,2.27,md
ci41070736,34.6578333,-116.285,1477.0510673983476,226.14943695576693,2.37,ml
nc75142601,36.8398333333333,-121.5825,3171.0562779071583,670.199268806197,2.65,md
nc75142781,36.1171666666667,-120.600333333333,3063.29044400659,551.0464084315404,2.51,md
ci41070920,32.34,-115.2146667,543.1136329634679,110.88957126888322,2.62,ml
ci41071256,34.0315,-117.2343333,1182.055124831179,176.86330252415664,2.35,ml
ci41071488,32.9846667,-116.2083333,197.979106370161,41.842667142998884,2.65,ml
ci41071720,35.2843333,-119.3325,915.8247323357714,404.4011367547343,3.29,ml
ci41072112,32.5246667,-117.8736667,972.1959691781612,143.7983212954738,2.34,ml
ci41072536,32.3498333,-115.3791667,834.7121864406807,95.8377819769449,2.12,ml
nc75144366,36.8811666666667,-121.618166666667,5008.726708431725,675.6586418719862,2.26,md
ci41073984,32.6731667,-115.6323333,347.82883284629315,67.04487408373556,2.57,ml
ci41074336,33.9956667,-116.7643333,1572.6999031201592,157.26999031201592,2.0,ml
us6000pxn6,31.5957,-114.0505,548.3737129871696,244.94953995827015,3.3,ml
ci41075168,33.7716667,-115.9081667,604.5206700271322,133.78614966843017,2.69,ml
ci41075424,33.3673333,-116.8928333,564.5024686935917,96.97635255398852,2.47,ml
ci41075584,34.0681667,-118.8945,267.1031625907371,286.20619520599394,4.06,mw
ci41075592,34.0648333,-118.9111667,1833.6524890756618,287.2876999465765,2.39,ml
ci41075600,34.0551667,-118.8925,1023.8534326494538,285.2579722278898,2.89,ml
ci41075608,34.0701667,-118.9103333,1284.4319691814972,287.5485000459576,2.7,ml
ci41075616,34.0628333,-118.8973333,1704.179639434134,286.09836262846807,2.45,ml
ci41075696,34.9733333,-116.9316667,2432.946214798167,266.7672476915285,2.08,ml
ci41075712,34.061,-118.8881667,2266.0573487724964,285.27971809526144,2.2,ml
ci41075888,31.6995,-115.9586667,177.56536345541443,109.48591561032602,3.58,mw
ci41075976,33.4698333,-116.8978333,675.4584245308492,107.05294588294515,2.4,ml
ci41076096,34.0648333,-118.9001667,719.5021258266567,286.4389555200767,3.2,ml
ci41076168,33.5015,-116.4615,479.7747345284314,97.95742803804487,2.62,ml
ci41076224,35.8705,-117.0135,1753.0461272060738,366.26324907803087,2.64,ml
ci41076384,34.0565,-118.8991667,2323.5080279742815,285.85393655486206,2.18,ml
ci41076568,34.0596667,-118.8905,1480.5416728085977,285.37809593559547,2.57,ml
ci41077160,35.2718333,-119.3403333,2730.653585277757,403.8932623165919,2.34,ml
nc75146796,36.6688333333333,-121.335,5846.652586192464,641.0727081184201,2.08,md
ci41077256,33.5023333,-116.4593333,647.6614064422891,98.02752068987414,2.36,ml
us6000py4e,36.4959,-113.5059,2247.6379660436187,503.1834626430598,2.7,ml
ci41077344,35.9553333,-117.4985,3026.150044700957,385.38114055453775,2.21,ml
ci41077944,33.2756667,-116.128,676.3843628424411,75.02285007021413,2.09,ml
ci41077952,34.0576667,-118.8873333,1883.054176940223,285.011783092266,2.36,ml
nc75147541,36.9815,-119.6755,3737.748215185074,572.2819427194254,2.37,md
nc75147601,36.571,-121.2165,5451.366276228432,625.9005932157652,2.12,md
ci41078344,32.7941667,-116.676,290.2449860636006,36.12141261495329,2.19,ml
ci41078720,36.4718333,-117.9698333,3599.568319792659,453.1588029276213,2.2,ml
ci41079048,32.4078333,-115.263,226.00249368031444,104.49926386668368,3.33,ml
nc75148421,35.623,-120.9815,5056.961932569435,541.8632336599825,2.06,md
nc75148541,36.5481666666667,-121.157333333333,5923.863840959026,620.304694263465,2.04,md
nc75149016,36.8378333333333,-121.582166666667,3682.067029870016,670.026053571398,2.52,md
ci41080024,33.2748333,-116.1308333,301.4829934933177,74.86224018268662,2.79,ml
nc75149391,36.5671666666667,-121.1555,2744.9727111259663,621.6386824749707,2.71,md
nc75149401,36.5683333333333,-121.161333333333,1794.1749847752287,622.1065833816817,3.08,ml
nn00894780,36.7983,-115.375,4213.490684672634,472.7614305232111,2.1,ml
nn00894750,36.8418,-115.3327,4782.478207142611,478.24782071426114,2.0,ml
nc75149736,36.5808333333333,-121.181333333333,4959.4807752740635,624.3616377297158,2.2,md
ci41081408,34.0635,-118.8958333,332.20151105454977,286.02342548425094,3.87,mw
ci41081464,34.059,-118.8925,2347.4340250280984,285.4916398680129,2.17,ml
ci41081624,33.4966667,-116.448,498.96756856924543,97.29092190291455,2.58,ml
ci41081704,32.0453333,-116.3363333,577.0528698656212,64.74639690971365,2.1,ml
nc75151222,36.6051666666667,-121.211,2710.5842275329433,628.1493387173784,2.73,md
ci41082928,33.277,-116.1316667,427.0596696696047,75.07382778815972,2.49,ml
nc75151272,36.6478333333333,-121.269666666667,3220.5107956624024,635.220871526786,2.59,md
ci41083016,33.8916667,-118.4093333,2003.9155927782447,238.16581456127167,2.15,ml
nc75151277,36.6055,-121.212333333333,4447.750102118618,628.2614008342237,2.3,md
ci41083184,34.0633333,-118.8903333,2790.8857024634076,285.5893781587355,2.02,ml
nc75151857,36.6898333333333,-121.357833333333,4666.516105712648,644.158540284167,2.28,md
ci40904495,33.3011667,-116.267,104.10144131381864,75.41482758336646,3.72,mw
nc75152032,36.3726666666667,-120.327666666667,4827.345192310839,554.2533864767256,2.12,md
ci40904647,33.3041667,-116.2671667,250.81755214828868,75.74568981172467,2.96,ml
ci40904783,31.9323333,-115.8098333,841.8280787213804,92.30461332191025,2.08,ml
ci37708316,31.4796667,-115.5965,975.5015490328398,145.9580200238287,2.35,ml
ci40905655,33.2946667,-116.2803333,405.1710525987925,74.58275294295628,2.53,ml
